street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
199781084,5891737497,148917500,Parnell Rise,17.27,0.0,17.27,0.0,0.0,0.0,0.0,0.0
4309654,25772488,8855875612,Carlaw Park Avenue,7.383,0.0,7.383,0.0,0.0,0.0,0.0,0.0
623945655,25772488,25772481,Parnell Rise,20.014,0.0,20.014,0.0,0.0,0.0,0.0,0.0
4309654,8855875612,4796353180,Carlaw Park Avenue,48.164,0.0,48.164,0.0,0.0,0.0,0.0,0.0
623945653,3329411905,25772488,Parnell Rise,39.401,0.0,39.401,0.0,0.0,0.0,0.0,0.0
4309656,25772496,4799962604,Bedford Street,9.037,0.0,9.037,0.0,0.0,0.0,0.0,0.0
87473672,25772496,3329411908,Parnell Rise,27.499,1.0,16.833447833173736,0.0,0.0,0.0,0.0,0.0
623945616,25772496,5891737496,Parnell Rise,16.158,0.0,16.158,0.0,0.0,0.0,0.0,0.0
4309656,4799962604,5545938294,Bedford Street,31.674,0.0,31.674,0.0,0.0,0.0,0.0,0.0
87473672,3329411908,567805149,Parnell Rise,19.239,0.0,19.239,0.0,0.0,0.0,0.0,0.0
623945619,5891737496,2982040252,Parnell Rise,25.326,0.0,25.326,0.0,0.0,0.0,0.0,0.0
682354389,6225320063,25772496,Parnell Rise,14.286,0.0,14.286,0.0,0.0,0.0,0.0,0.0
